trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1833,False,"{'a': 0.2, 'e': 0.15993304821158225}",25,18,12.820024487069599,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1834,False,"{'a': 0.2, 'e': 0.15977319510324592}",30,0,30.159392674596965,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
1835,False,"{'a': 0.2, 'e': 0.15961350176811803}",25,9,28.112954584305644,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1836,False,"{'a': 0.2, 'e': 0.15945396804650516}",20,12,15.730787268705107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1837,False,"{'a': 0.2, 'e': 0.1592945937788737}",25,18,14.557200717232439,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1838,False,"{'a': 0.2, 'e': 0.15913537880584921}",25,10,30.31649945556888,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1839,False,"{'a': 0.2, 'e': 0.15897632296821687}",20,6,-15.024096800041821,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1840,False,"{'a': 0.2, 'e': 0.15881742610692068}",20,11,14.804693438457157,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1841,False,"{'a': 0.2, 'e': 0.15865868806306388}",20,2,28.207725221148472,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1842,False,"{'a': 0.2, 'e': 0.1585001086779083}",30,20,16.686908783271427,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1843,False,"{'a': 0.2, 'e': 0.1583416877928747}",20,9,19.06918240192577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1844,False,"{'a': 0.2, 'e': 0.15818342524954201}",20,0,20.725324252747154,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1845,False,"{'a': 0.2, 'e': 0.1580253208896478}",20,3,12.914834191346495,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1846,False,"{'a': 0.2, 'e': 0.1578673745550876}",25,16,11.435701344055632,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1847,False,"{'a': 0.2, 'e': 0.15770958608791516}",20,16,6.857778417430118,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1848,False,"{'a': 0.2, 'e': 0.15755195533034191}",25,3,20.81449937860116,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1849,False,"{'a': 0.2, 'e': 0.15739448212473714}",20,5,27.77676149350677,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1850,False,"{'a': 0.2, 'e': 0.1572371663136276}",25,15,9.868369245801269,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1851,False,"{'a': 0.2, 'e': 0.1570800077396975}",25,13,-0.31600858455503245,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
1852,False,"{'a': 0.2, 'e': 0.1569230062457882}",30,13,31.28198315186761,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1853,False,"{'a': 0.2, 'e': 0.15676616167489826}",20,0,-2.0482101977002776,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1854,False,"{'a': 0.2, 'e': 0.156609473870183}",20,13,13.021918328058604,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1855,False,"{'a': 0.2, 'e': 0.15645294267495474}",25,10,29.93177249188957,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1856,False,"{'a': 0.2, 'e': 0.15629656793268212}",30,0,33.4782304670154,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
1857,False,"{'a': 0.2, 'e': 0.15614034948699052}",30,13,18.552514818869234,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1858,False,"{'a': 0.2, 'e': 0.15598428718166135}",30,8,-7.29362106339246,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
1859,False,"{'a': 0.2, 'e': 0.15582838086063242}",30,13,-35.162406602105236,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
1860,False,"{'a': 0.2, 'e': 0.1556726303679973}",20,13,14.252829732149467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1861,False,"{'a': 0.2, 'e': 0.15551703554800556}",25,14,7.611708928939685,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1862,False,"{'a': 0.2, 'e': 0.15536159624506227}",25,11,21.510520027551944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1863,False,"{'a': 0.2, 'e': 0.15520631230372822}",20,12,15.41916061267268,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1864,False,"{'a': 0.2, 'e': 0.15505118356871936}",20,14,12.793399844563286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1865,False,"{'a': 0.2, 'e': 0.15489620988490704}",25,0,12.081633971156961,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
1866,False,"{'a': 0.2, 'e': 0.1547413910973175}",20,13,1.1896809648721778,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1867,False,"{'a': 0.2, 'e': 0.15458672705113194}",20,7,19.757491563240908,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1868,False,"{'a': 0.2, 'e': 0.15443221759168632}",20,6,24.021299873855803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1869,False,"{'a': 0.2, 'e': 0.15427786256447115}",20,12,14.177570734242801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1870,False,"{'a': 0.2, 'e': 0.1541236618151314}",30,22,8.883462503873549,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1871,False,"{'a': 0.2, 'e': 0.15396961518946634}",20,7,0.028593595978677833,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
1872,False,"{'a': 0.2, 'e': 0.15381572253342926}",20,9,-18.042617755650745,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1873,False,"{'a': 0.2, 'e': 0.15366198369312759}",25,11,23.473675446141762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1874,False,"{'a': 0.2, 'e': 0.15350839851482234}",20,3,-25.86666623963576,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1875,False,"{'a': 0.2, 'e': 0.15335496684492847}",20,5,1.1629107291989285,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
1876,False,"{'a': 0.2, 'e': 0.15320168853001417}",25,14,11.301753639689702,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1877,False,"{'a': 0.2, 'e': 0.1530485634168012}",20,16,6.882813229733555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1878,False,"{'a': 0.2, 'e': 0.15289559135216438}",25,15,15.422704151920062,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1879,False,"{'a': 0.2, 'e': 0.15274277218313168}",25,2,13.121172696131874,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
1880,False,"{'a': 0.2, 'e': 0.15259010575688386}",20,0,0.6485104933025891,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
1881,False,"{'a': 0.2, 'e': 0.15243759192075454}",20,6,15.135347936927698,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1882,False,"{'a': 0.2, 'e': 0.1522852305222298}",25,15,1.9461739370631521,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
1883,False,"{'a': 0.2, 'e': 0.15213302140894833}",25,6,8.702227825557385,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
1884,False,"{'a': 0.2, 'e': 0.1519809644287009}",25,17,15.182600054393234,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1885,False,"{'a': 0.2, 'e': 0.1518290594294306}",30,18,22.345795936003853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1886,False,"{'a': 0.2, 'e': 0.15167730625923234}",20,16,6.6369674791454,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1887,False,"{'a': 0.2, 'e': 0.15152570476635302}",30,8,25.960111659939667,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1888,False,"{'a': 0.2, 'e': 0.1513742547991911}",35,21,6.346899542888307,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
1889,False,"{'a': 0.2, 'e': 0.15122295620629655}",20,5,-15.349280104851388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
1890,False,"{'a': 0.2, 'e': 0.15107180883637084}",20,13,10.8877618785939,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1891,False,"{'a': 0.2, 'e': 0.15092081253826656}",30,16,28.992262566380013,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1892,False,"{'a': 0.2, 'e': 0.15076996716098734}",25,17,17.18120857938443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1893,False,"{'a': 0.2, 'e': 0.15061927255368793}",35,14,17.256249257563706,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
1894,False,"{'a': 0.2, 'e': 0.15046872856567356}",20,3,8.294209681779957,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1895,False,"{'a': 0.2, 'e': 0.15031833504640033}",30,16,12.990112066774302,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1896,False,"{'a': 0.2, 'e': 0.15016809184547464}",25,3,28.011076809690056,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
1897,False,"{'a': 0.2, 'e': 0.15001799881265335}",20,11,8.746947959796454,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1898,False,"{'a': 0.2, 'e': 0.14986805579784332}",20,12,13.746512073218243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1899,False,"{'a': 0.2, 'e': 0.14971826265110164}",30,20,15.6574664839126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1900,False,"{'a': 0.2, 'e': 0.14956861922263504}",30,5,16.937938179552223,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
1901,False,"{'a': 0.2, 'e': 0.14941912536280016}",20,9,19.519494425195063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1902,False,"{'a': 0.2, 'e': 0.14926978092210305}",25,11,13.967045284403614,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1903,False,"{'a': 0.2, 'e': 0.14912058575119935}",20,11,-8.442061382672842,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
1904,False,"{'a': 0.2, 'e': 0.1489715397008938}",25,1,-61.67902302717912,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 1}",1
1905,False,"{'a': 0.2, 'e': 0.14882264262214037}",25,0,39.749627780009156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1906,False,"{'a': 0.2, 'e': 0.14867389436604195}",25,10,19.828869112335678,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
1907,False,"{'a': 0.2, 'e': 0.14852529478385032}",30,19,11.901674195961213,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1908,False,"{'a': 0.2, 'e': 0.14837684372696583}",20,11,18.4781473082216,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1909,False,"{'a': 0.2, 'e': 0.14822854104693745}",20,9,7.185369158249896,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1910,False,"{'a': 0.2, 'e': 0.14808038659546244}",25,10,25.241887167854795,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1911,False,"{'a': 0.2, 'e': 0.1479323802243864}",20,8,22.959506852725475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1912,False,"{'a': 0.2, 'e': 0.14778452178570287}",25,0,12.808010832961566,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
1913,False,"{'a': 0.2, 'e': 0.14763681113155347}",25,13,26.849724171742253,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1914,False,"{'a': 0.2, 'e': 0.14748924811422748}",25,0,38.3696404657827,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1915,False,"{'a': 0.2, 'e': 0.14734183258616193}",30,22,13.156920583911957,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1916,False,"{'a': 0.2, 'e': 0.14719456439994122}",35,21,20.164291110499743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1917,False,"{'a': 0.2, 'e': 0.1470474434082972}",25,13,8.745173791583877,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1918,False,"{'a': 0.2, 'e': 0.1469004694641088}",20,11,5.082494931620275,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1919,False,"{'a': 0.2, 'e': 0.14675364242040215}",20,2,-30.94882960430445,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
