trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-48.54933329060738,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9955101098295706}",30,0,-132.4429379020494,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-91.47931714118084,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9925280548191384}",20,0,-123.64298167666294,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-149.471484749025,"{0: 9, 1: 3, 2: 4, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9895549325678993}",20,0,-161.83317562120374,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9880717128619305}",20,0,-83.4761118934311,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9865907163177327}",20,0,-92.07380391178002,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9851119396030626}",25,0,-135.60299799113508,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9836353793906724}",30,0,-184.25809586034944,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9821610323583008}",25,0,-195.3138670662806,"{0: 13, 1: 2, 2: 4, 3: 4, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9806888951886662}",20,11,4.96252514271751,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9792189645694596}",25,0,-162.71534808214435,"{0: 10, 1: 1, 2: 13, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9777512371933363}",20,0,-93.38369856962963,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9762857097579093}",25,0,-178.7141041499785,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9748223789657411}",25,0,-155.5256928755298,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9733612415243368}",20,0,-133.9149566237425,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9719022941461366}",30,11,-128.66265685131697,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-142.88965209747977,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9689909564537397}",30,0,-198.81239941900427,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.967538559589032}",30,15,-82.64936805255299,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9660883396864915}",25,0,-30.940185726950887,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,0,-85.61291248948739,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9631944177208218}",25,10,-51.60396230728888,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.9617507091463667}",20,0,-126.69591838580664,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.960309164511413}",20,0,-34.894087607975194,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9588697805724845}",25,0,-138.21019548660493,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.957432554090967}",30,0,-111.05442123996296,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-144.5871950145939,"{0: 16, 1: 3, 2: 1, 3: 3, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9545645605699703}",35,0,-293.8610315943626,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 5}",0
31,False,"{'a': 0.5, 'e': 0.9531337870775047}",20,0,-82.05750748632174,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9517051581364622}",35,2,-64.76662550985958,"{0: 22, 1: 4, 2: 7, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.950278670532427}",30,0,-310.27691554193217,"{0: 13, 1: 5, 2: 4, 3: 3, 4: 5}",0
34,False,"{'a': 0.5, 'e': 0.9488543210558013}",20,0,-198.31531952145974,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9474321065017983}",20,0,-62.951717690904836,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9460120236704347}",30,1,-130.3755633465256,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.9445940693665233}",30,0,-137.2729864945835,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.9431782403996666}",20,0,-28.931322377865897,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-118.393582999216,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.9403529457394286}",20,0,-125.88612013546413,"{0: 10, 1: 6, 2: 1, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9389434736891332}",25,0,-162.89723742056447,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9375361142620497}",25,0,-126.35800903291867,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9361308642916188}",20,0,-173.51074986519393,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.9347277206160275}",25,0,-154.56683317485417,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.933326680078202}",20,0,-98.63589683869276,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9319277395258003}",20,0,-52.93356998116564,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9305308958112057}",20,0,-97.70970072365213,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9291361457915193}",25,9,-48.300002163063304,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.9277434863285529}",20,0,-159.58937340863304,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.9263529142888222}",30,0,-170.04747114224313,"{0: 19, 1: 1, 2: 5, 3: 3, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-35.004248489108335,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9235780199686064}",30,0,-128.77480981784,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.922193691444608}",20,0,-59.743434394308764,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9208114378568045}",30,0,-188.27602633200684,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,4,-112.9825767289047,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.9180531430541589}",25,0,-137.07675899759826,"{0: 15, 1: 4, 2: 1, 3: 4, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9166770956331523}",20,0,-84.5134196951905,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9153031107359976}",20,0,-41.598104719607015,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,2,-69.19955257918231,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.9125613161520112}",25,18,0.3920559920788673,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.9111935002961405}",35,0,-269.3732214640632,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 5}",0
62,False,"{'a': 0.5, 'e': 0.90982773462603}",20,10,6.176620685551581,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.9084640160687062}",25,0,-132.71639344072432,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.9071023415558017}",25,0,-103.06746790895366,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9057427080235485}",20,0,-158.3833915608007,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9043851124127704}",35,0,-51.54605803673293,"{0: 27, 1: 5, 2: 0, 3: 3, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9030295516688768}",20,0,-68.64817081303725,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9016760227418554}",20,0,-63.006057210424494,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9003245225862656}",30,3,-108.6832402205405,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.8989750481612314}",30,0,-110.8573476499253,"{0: 19, 1: 2, 2: 6, 3: 3, 4: 0}",0
