trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1088,False,"{'a': 0.2, 'e': 0.33688959957564707}",20,14,9.564743213967141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.2, 'e': 0.336552878364737}",30,22,1.4434384884411244,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1090,False,"{'a': 0.2, 'e': 0.3362164937067333}",30,12,2.225301573272164,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
1091,False,"{'a': 0.2, 'e': 0.3358804452652514}",20,8,-19.985697096303035,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
1092,False,"{'a': 0.2, 'e': 0.3355447327042427}",30,13,0.30908488346960006,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1093,False,"{'a': 0.2, 'e': 0.33520935568799465}",20,6,-1.9624846683673467,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
1094,False,"{'a': 0.2, 'e': 0.3348743138811302}",30,0,-52.307652998058956,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
1095,False,"{'a': 0.2, 'e': 0.3345396069486076}",20,16,9.349329934835211,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1096,False,"{'a': 0.2, 'e': 0.33420523455571977}",35,8,21.495883648940456,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
1097,False,"{'a': 0.2, 'e': 0.3338711963680944}",20,3,-46.77214508046405,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
1098,False,"{'a': 0.2, 'e': 0.3335374920516932}",20,0,0.1906866742276594,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
1099,False,"{'a': 0.2, 'e': 0.33320412127281185}",30,17,-12.442625390976659,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
1100,False,"{'a': 0.2, 'e': 0.33287108369807955}",20,15,3.1680246199021296,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
1101,False,"{'a': 0.2, 'e': 0.3325383789944587}",20,14,11.649688278532457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.2, 'e': 0.33220600682924445}",20,9,14.035728884828028,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.2, 'e': 0.3318739668700649}",30,8,5.590896678250704,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
1104,False,"{'a': 0.2, 'e': 0.3315422587848797}",20,10,-2.8995545123980384,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1105,False,"{'a': 0.2, 'e': 0.331210882241981}",20,0,-20.897123014853374,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
1106,False,"{'a': 0.2, 'e': 0.33087983690999206}",20,0,19.190703090459323,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1107,False,"{'a': 0.2, 'e': 0.3305491224578677}",25,14,4.421159976144763,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1108,False,"{'a': 0.2, 'e': 0.3302187385548933}",25,16,17.98024657126245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.2, 'e': 0.329888684870685}",30,14,-38.60077962553041,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
1110,False,"{'a': 0.2, 'e': 0.32955896107518906}",20,15,9.002474513425476,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.2, 'e': 0.32922956683868165}",20,7,-43.29803335327715,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
1112,False,"{'a': 0.2, 'e': 0.3289005018317685}",25,12,-28.49388050718776,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
1113,False,"{'a': 0.2, 'e': 0.3285717657253846}",20,6,-11.535029344800172,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
1114,False,"{'a': 0.2, 'e': 0.32824335819079375}",30,6,-27.27737877584634,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 1}",1
1115,False,"{'a': 0.2, 'e': 0.32791527889958855}",20,0,-26.65768867652729,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
1116,False,"{'a': 0.2, 'e': 0.3275875275236895}",20,10,4.217152564806602,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1117,False,"{'a': 0.2, 'e': 0.3272601037353453}",20,5,-42.62368908797581,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
1118,False,"{'a': 0.2, 'e': 0.3269330072071321}",25,2,-18.014274195071003,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
1119,False,"{'a': 0.2, 'e': 0.3266062376119534}",20,12,5.0567814968779,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1120,False,"{'a': 0.2, 'e': 0.32627979462303947}",35,19,14.575465001854536,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1121,False,"{'a': 0.2, 'e': 0.32595367791394736}",30,10,-71.52586199421438,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 1}",1
1122,False,"{'a': 0.2, 'e': 0.32562788715856034}",30,13,16.738387237164474,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1123,False,"{'a': 0.2, 'e': 0.3253024220310876}",20,0,-12.859344277081155,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1124,False,"{'a': 0.2, 'e': 0.324977282206064}",20,10,-24.45739168218013,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1125,False,"{'a': 0.2, 'e': 0.32465246735834974}",25,1,11.855199903802973,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
1126,False,"{'a': 0.2, 'e': 0.3243279771631298}",30,0,-40.86021486749208,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
1127,False,"{'a': 0.2, 'e': 0.32400381129591416}",20,0,-4.326198734117286,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1128,False,"{'a': 0.2, 'e': 0.3236799694325367}",20,14,6.260008625564753,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.2, 'e': 0.32335645124915574}",20,12,14.907780952314123,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.2, 'e': 0.3230332564222529}",20,0,-29.490969434259966,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
1131,False,"{'a': 0.2, 'e': 0.3227103846286335}",25,10,7.768709755326538,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1132,False,"{'a': 0.2, 'e': 0.3223878355454255}",25,0,14.366466906924526,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
1133,False,"{'a': 0.2, 'e': 0.32206560885008}",20,11,14.711681389381521,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.2, 'e': 0.32174370422037013}",20,10,11.186319811901651,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1135,False,"{'a': 0.2, 'e': 0.32142212133439135}",25,6,9.44612389330394,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
1136,False,"{'a': 0.2, 'e': 0.32110085987056064}",25,12,11.732387854138135,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1137,False,"{'a': 0.2, 'e': 0.3207799195076166}",35,17,10.558955578087316,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
1138,False,"{'a': 0.2, 'e': 0.32045929992461875}",20,3,6.037919206906093,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
1139,False,"{'a': 0.2, 'e': 0.3201390008009476}",20,6,-42.48507134654935,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
1140,False,"{'a': 0.2, 'e': 0.31981902181630384}",20,14,11.609307866177296,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.2, 'e': 0.31949936265070866}",25,7,21.8066229610128,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1142,False,"{'a': 0.2, 'e': 0.31918002298450265}",20,0,-5.787582101192019,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
1143,False,"{'a': 0.2, 'e': 0.3188610024983463}",25,8,20.578291530729313,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1144,False,"{'a': 0.2, 'e': 0.31854230087321894}",20,16,6.4462591868733,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1145,False,"{'a': 0.2, 'e': 0.3182239177904191}",25,7,-61.73777459576768,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
1146,False,"{'a': 0.2, 'e': 0.3179058529315635}",25,4,19.394348941874153,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1147,False,"{'a': 0.2, 'e': 0.31758810597858733}",30,19,-44.831562068625864,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
1148,False,"{'a': 0.2, 'e': 0.3172706766137436}",30,13,29.330649189682536,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1149,False,"{'a': 0.2, 'e': 0.31695356451960294}",30,0,18.424986121870198,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
1150,False,"{'a': 0.2, 'e': 0.31663676937905316}",25,20,12.316405943761204,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1151,False,"{'a': 0.2, 'e': 0.3163202908752992}",20,13,2.208126310245076,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1152,False,"{'a': 0.2, 'e': 0.31600412869186245}",20,0,-36.23589211002112,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
1153,False,"{'a': 0.2, 'e': 0.3156882825125808}",20,9,2.5062312700036267,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
1154,False,"{'a': 0.2, 'e': 0.31537275202160797}",30,8,25.996973446158986,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1155,False,"{'a': 0.2, 'e': 0.3150575369034133}",20,0,-2.2542904091707627,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1156,False,"{'a': 0.2, 'e': 0.3147426368427819}",25,0,-26.640650199244032,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
1157,False,"{'a': 0.2, 'e': 0.31442805152481357}",25,2,-53.496656557820295,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
1158,False,"{'a': 0.2, 'e': 0.31411378063492296}",20,5,23.965040263264918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1159,False,"{'a': 0.2, 'e': 0.3137998238588391}",20,0,1.0902119413048212,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
1160,False,"{'a': 0.2, 'e': 0.3134861808826053}",25,3,-39.441854231084356,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
1161,False,"{'a': 0.2, 'e': 0.3131728513925785}",30,8,-31.60507872235098,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
1162,False,"{'a': 0.2, 'e': 0.3128598350754292}",25,13,-32.610836775554745,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
1163,False,"{'a': 0.2, 'e': 0.312547131618141}",20,1,-15.12840671260306,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
