trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801}",25,0,-127.23909856595107,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.970299}",25,0,-143.98687539367026,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.96059601}",20,8,-101.84950717926573,"{0: 5, 1: 0, 2: 5, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-38.115329480712596,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.941480149401}",25,13,-71.58521428248065,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-113.17038749489969,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-156.88248089473427,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9135172474836408}",25,0,-51.939424039054785,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-120.22475482451618,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-44.296759873262104,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-195.50362735590207,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8775210229989678}",30,0,-157.75466188823376,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-110.24665498332479,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-57.61162948772066,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-89.84505646274916,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-66.37415641705849,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8345137614500875}",25,0,-39.51429008403717,"{0: 18, 1: 5, 2: 0, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-46.953829393720824,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,0,-65.68083288324833,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8097278682212584}",35,0,-197.95297624579123,"{0: 20, 1: 6, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,0,-88.97570822257286,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-106.96571528571606,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7856781408072188}",30,0,-149.22163861456355,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,0,-86.94882605795934,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,17,-20.182519485509257,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-224.8251367139583,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,0,-95.9444353082971,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-70.89793497513402,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,0,-97.61247904044112,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-95.77889464777675,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7249803359578535}",25,0,-77.55213430124478,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7177305325982749}",20,0,-130.71038830455484,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
